# Spatial Convergence Test Results
# Method: Explicit Euler
# Parameters: K=100.00, r=0.0200, sigma=0.8000, T=2.00, S_max=300.00
# Fixed time steps: 10000
# Columns: SpacePoints SpaceStep(dS) MaxError
# ----------------------------------------------
50 6.122449 28.787486
100 3.030303 29.554242
# Calculation diverged at N=200

# Convergence Order Analysis
# From N=50 to N=100: Convergence order = -0.0374 (dS: 6.1224 -> 3.0303, Error: 28.7875 -> 29.5542)
# From N=100 to N=200: Convergence order = 1.1846 (dS: 3.0303 -> 60191678096235341643403471624948317135789066039662451334289507994928161465044542512231506832984742821165674414501550012210025282450497240142342556483584.0000, Error: 29.5542 -> 5040389571483
# From N=200 to N=400: Convergence order = -0.0000 (dS: 60191678096235341643403471624948317135789066039662451334289507994928161465044542512231506832984742821165674414501550012210025282450497240142342556483584.0000 -> 0.0000, Error: 50403895714835990593119
# From N=400 to N=800: Convergence order = inf (dS: 0.0000 -> 0.0000, Error: 1144892418476297128139068449586224833794632953237010773947284400775360537349683718507191632925354093975615345854061739010604741220260493867445455991299915206757824834434860564603
# ----------------------------------------------
# Test completed

# Test Summary
# Spatial discretization method: Finite Difference
# Theoretical expected convergence order: 2
# Actual average convergence order: -0.0374
# Verification result: PASS
